17,,Erling Haaland Manchester City | ENG 1,97,ST CF,1.6M,PAC 97,SHO  97,PAS 82,DRI 90,DEF 61,PHY 95,4,5,H/M,Left,2361
18,,Kylian Mbappe Paris SG | FRA 1,97,ST CF LW,6.2M,PAC 99,SHO 97,PAS 87,DRI 99,DEF 43,PHY 85,5,4,H/L,Right,2342
19,,Robert Lewandowski FC Barcelona | ESP 1,97,ST CF,162K,PAC 90,SHO 99,PAS  86,DRI 93,DEF 51,PHY 90,4,5,H/M,Right,2378
20,,Victor Osimhen Napoli FC | ITA 1,97,ST CF,1.2M,PAC 99,SHO 97,PAS 82,DRI 94,DEF 55,PHY 95,4,5,H/M,Right,2366
21,,Jude Bellingham Borussia Dortmund | GER 1,97,CM CDM LM,1.5M,PAC 90,SHO 90,PAS 94,DRI 98,DEF 93,PHY 94,4,5,H/H,Right,2548
22,,Toni Kroos Real Madrid | ESP 1,97,CDM CAM CF,,PAC 90,SHO 87,PAS 96,DRI 93,DEF 92,PHY 90,5,5,H/H,Right,2536
23,,Victor Osimhen Napoli FC | ITA 1,97,ST CF,1.1M,PAC 99,SHO 97,PAS 82,DRI 94,DEF 55,PHY 95,4,5,H/M,Right,2366
24,,Rafael Leao Milan | ITA 1,97,LW LM,1.2M,PAC 99,SHO 93,PAS 89,DRI 98,DEF 40,PHY 91,5,4,M/L,Right,2316
25,,Kylian Mbappe Paris SG | FRA 1,97,ST CF LW,5.7M,PAC 99,SHO 97,PAS 87,DRI 99,DEF 43,PHY 85,5,4,H/L,Right,2342
26,,Player,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
27,,Karim Benzema Real Madrid | ESP 1,97,CF ST,1.2M,PAC 93,SHO 96,PAS 89,DRI 93,DEF 45,PHY 94,5,4,H/M,Right,2356
28,,Luka Modric Real Madrid | ESP 1,97,CM,152K,PAC 87,SHO 87,PAS 99,DRI 99,DEF 86,PHY 84,4,5,H/M,Right,2544
29,,Robert Lewandowski FC Barcelona | ESP 1,97,ST CF,132K,PAC 90,SHO 99,PAS 86,DRI 93,DEF 51,PHY 90,4,5,H/M,Right,2378
30,,Jamal Musiala FC Bayern Munchen | GER 1,97,CAM CM LM,596K,PAC 94,SHO 88,PAS 92,DRI 98,DEF 81,PHY 86,5,4,H/M,Right,2442
31,,Jude Bellingham Borussia Dortmund | GER 1,97,CM CDM LM,1.3M,PAC 90,SHO 90,PAS 94,DRI 98,DEF 93,PHY 94,4,5,H/H,Right,2555
32,,Erling Haaland Manchester City | ENG 1,97,ST CF,1.4M,PAC 97,SHO 97,PAS 82,DRI 90,DEF 61,PHY 95,4,5,H/M,Left,2361
33,,Kevin De Bruyne Manchester City | ENG 1,97,CM CAM,318K,PAC 84,SHO 92,PAS 99,DRI 95,DEF 85,PHY 87,4,5,H/H,Right,2506
34,,Ronaldo Nazario Icons | ICO,97,ST CF,9.3M,PAC 97,SHO 96,PAS 82,DRI 96,DEF 45,PHY 82,5,5,H/M,Right,2303
35,,Zinedine Zidane Icons | ICO,97,CAM CM,2.3M,PAC 86,SHO 92,PAS 96,DRI 95,DEF 81,PHY 88,5,5,H/H,Right,2484
36,,Kevin De Bruyne Manchester City | ENG 1,97,CM CAM,634K,PAC 85,SHO 94,PAS 98,DRI 94,DEF 81,PHY 86,4,5,H/H,Right,2497
37,,Karim Benzema Real Madrid | ESP 1,97,CF ST,745K,PAC 92,SHO 97,PAS 90,DRI 94,DEF 45,PHY 90,4,5,H/M,Right,2352
38,,Kylian Mbappe Paris SG | FRA 1,97,ST CF LW,5.7M,PAC 99,SHO 96,PAS 88,DRI 98,DEF 44,PHY 87,5,4,H/L,Right,2361
39,,Aurelien Tchouameni Real Madrid | ESP 1,96,CDM CM,,PAC 93,SHO 83,PAS 92,DRI 91,DEF 94,PHY 96,3,5,M/H,Right,2473
40,,Gabriel Martinelli Arsenal | ENG 1,96,LM CF LW,,PAC 99,SHO 90,PAS 90,DRI 98,DEF 71,PHY 90,5,4,H/H,Right,2461
41,,Leon Goretzka FC Bayern Munchen | GER 1,96,CM CDM,2.5M,PAC 91,SHO 91,PAS 93,DRI 93,DEF 91,PHY 95,3,5,H/H,Right,2533
42,,Hakan Calhanoglu Inter | ITA 1,96,CM CDM CAM,,PAC 94,SHO 91,PAS 97,DRI 94,DEF 90,PHY 89,4,5,H/H,Right,2554
43,,Edinson Cavani Valencia CF | ESP 1,96,ST CF,,PAC 92,SHO 96,PAS 89,DRI 94,DEF 65,PHY 89,5,4,H/H,Right,2465
44,,Timo Werner RB Leipzig | GER 1,96,ST CF LW,,PAC 99,SHO 94,PAS 90,DRI 96,DEF 48,PHY 82,4,5,H/M,Right,2355
45,,Joao Felix Chelsea | ENG 1,96,CAM CM,1M,PAC 94,SHO 91,PAS 94,DRI 96,DEF 80,PHY 86,5,5,H/M,Right,2502
46,,Hugo Lloris Spurs | ENG 1,96,CM CDM,896K,PAC 91,SHO 87,PAS 97,DRI 93,DEF 93,PHY 95,4,5,M/H,Left,2603
47,,N'Golo Kante Chelsea | ENG 1,96,CDM CM,,PAC 90,SHO 81,PAS 91,DRI 90,DEF 98,PHY 90,4,5,M/H,Right,2460
48,,Frenkie de Jong FC Barcelona | ESP 1,96,CDM CB,1.5M,PAC 91,SHO 81,PAS 93,DRI 94,DEF 97,PHY 93,4,5,H/H,Right,2510
49,,Samuel Eto'o Icons | ICO,96,LW LM,1.3M,PAC 97,SHO 92,PAS 92,DRI 97,DEF 51,PHY 84,5,5,H/L,Right,2387
50,,Samuel Eto'o Icons | ICO,96,RW RM,1.5M,PAC 97,SHO 92,PAS 92,DRI 97,DEF 51,PHY 84,5,5,H/L,Right,2387
51,,Memphis Depay Atletico de Madrid | ESP 1,96,CM CAM,295K,PAC 91,SHO 88,PAS 97,DRI 95,DEF 91,PHY 93,5,4,H/M,Right,2564
52,,Player,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
53,,Antonio Rudiger Real Madrid | ESP 1,96,ST CF,405K,PAC 98,SHO 95,PAS 86,DRI 92,DEF 65,PHY 94,4,5,H/H,Right,2434
54,,Robin van Persie Icons | ICO,96,RW RM,530K,PAC 98,SHO 95,PAS 88,DRI 98,DEF 51,PHY 78,5,4,H/M,Left,2357
55,,Robin van Persie Icons | ICO,96,CAM CF,380K,PAC 93,SHO 96,PAS 98,DRI 94,DEF 75,PHY 89,4,5,H/M,Left,2519
56,,Khvicha Kvaratskhelia Napoli FC | ITA 1,96,LW LM CAM,840K,PAC 98,SHO 91,PAS 92,DRI 98,DEF 52,PHY 82,5,5,M/M,Right,2354
57,,Khvicha Kvaratskhelia  Napoli FC | ITA 1,96,LW LM CAM,558K,PAC 98,SHO 91,PAS 92,DRI 98,DEF 52,PHY 82,5,5,M/M,Right,2354
58,,Neymar Jr Paris SG | FRA 1,96,LW LM CAM,1.6M,PAC 95,SHO 93,PAS 92,DRI 99,DEF 44,PHY 71,5,5,H/M,Right,2326
59,,Cristiano Ronaldo  Al Nassr | SAU 1,96,ST CF,946K,PAC 94,SHO 98,PAS 86,DRI 94,DEF 38,PHY 84,5,4,H/L,Right,2300
60,,Joshua Kimmich FC Bayern Munchen | GER 1,96,CDM RB CM,97K,PAC 86,SHO 80,PAS 98,DRI 92,DEF 92,PHY 90,4,4,H/H,Right,2490
61,,Matthijs de Ligt FC Bayern Munchen | GER 1,96,CB,700K,PAC 90,SHO 68,PAS 80,DRI 83,DEF 95,PHY 96,2,4,M/H,Right,2296
62,,Mohamed Salah Liverpool | ENG 1,96,RW RM,478K,PAC 96,SHO 95,PAS 90,DRI 97,DEF 54,PHY 83,5,3,H/M,Left,2370
63,,Ruben Dias Manchester City | ENG 1,96,CB,261K,PAC 88,SHO 48,PAS 83,DRI 83,DEF 97,PHY 97,2,4,M/H,Right,2196
64,,Erling Haaland Manchester City | ENG 1,96,ST CF,985K,PAC 96,SHO 96,PAS 80,DRI 88,DEF 60,PHY 94,4,4,H/M,Left,2324
65,,Thibaut Courtois Real Madrid | ESP 1,96,GK,567K,DIV 90,HAN 95,KIC 85,REF 97,SPD 60,POS 95,1,3,M/M,Left,936
66,,Virgil van Dijk Liverpool | ENG 1,96,CB,1.2M,PAC 88,SHO 65,PAS 80,DRI 83,DEF 97,PHY 94,2,3,M/H,Right,2301
67,,Luka Modric Real Madrid | ESP 1,96,CM,176K,PAC 85,SHO 86,PAS 97,DRI 97,DEF 85,PHY 83,4,4,M/M,Right,2503
68,,Pele Icons | ICO,96,CF CAM ST,1.9M,PAC 96,SHO 94,PAS 92,DRI 95,DEF 58,PHY 75,5,4,H/M,Right,2378
69,,Zinedine Zidane Icons | ICO,96,CAM CM,980K,PAC 85,SHO 92,PAS 96,DRI 95,DEF 75,PHY 86,5,5,M/M,Right,2451
70,,Ronaldo Nazario Icons | ICO,96,ST CF,3.6M,PAC 97,SHO 95,PAS 81,DRI 95,DEF 45,PHY 76,5,5,M/M,Right,2252
71,,Raphael Varane Manchester Utd | ENG 1,95,CB,7.7M,PAC 91,SHO 60,PAS 75,DRI 84,DEF 96,PHY 94,2,4,M/H,Right,2205
72,,Raheem Sterling Chelsea | ENG 1,95,RW RM,,PAC 97,SHO 92,PAS 91,DRI 96,DEF 70,PHY 87,4,5,H/M,Right,2437
73,,Dusan Vlahovic Juventus | ITA 1,95,ST CF,,PAC 92,SHO 94,PAS 85,DRI 94,DEF 40,PHY 89,4,5,H/M,Left,2268
74,,Enzo Fernandez Chelsea | ENG 1,95,CM CDM,,PAC 91,SHO 88,PAS 93,DRI  94,DEF 90,PHY 95,3,5,H/H,Right,2553
75,,Alphonso Davies FC Bayern Munchen | GER 1,95,LB LWB LM,,PAC 99,SHO 80,PAS 92,DRI 94,DEF 88,PHY 88,5,5,H/H,Left,2457
76,,Gianfranco Zola Icons | ICO,95,CAM LM LW,,PAC 93,SHO 95,PAS 94,DRI 96,DEF  60,PHY 84,5,4,H/M,Right,2423
77,,Lukas Klostermann RB Leipzig | GER 1,95,LB LWB,563K,PAC 96,SHO 81,PAS 93,DRI 93,DEF 91,PHY 96,5,4,M/H,Right,2473
78,,Player,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
79,,Harry Maguire Manchester Utd | ENG 1,95,ST CF,136K,PAC 94,SHO 96,PAS 84,DRI 95,DEF 66,PHY 94,5,4,H/M,Right,2416
80,,Luis Figo Icons | ICO,95,ST CF,355K,PAC 95,SHO 96,PAS 90,DRI 95,DEF 44,PHY 84,5,4,H/L,Right,2325
81,,Luis Figo Icons | ICO,95,CM CDM LM,397K,PAC 93,SHO 87,PAS 96,DRI 94,DEF 94,PHY 89,4,5,M/H,Right,2563
82,,Clarence Seedorf Icons | ICO,95,CDM CM,305K,PAC 88,SHO 85,PAS 96,DRI 92,DEF 94,PHY 96,4,5,M/H,Right,2549
83,,Emmanuel Petit Icons | ICO,95,CAM RM RW,198K,PAC 93,SHO 90,PAS 95,DRI 97,DEF 77,PHY 84,5,3,H/H,Left,2470
84,,Emmanuel Petit Icons | ICO,95,CB RB,370K,PAC  86,SHO 80,PAS 87,DRI 86,DEF 96,PHY 97,3,5,H/H,Left,2448
85,,Riyad Mahrez Manchester City | ENG 1,95,ST CF,1.1M,PAC 95,SHO 97,PAS 91,DRI 95,DEF 45,PHY 77,5,5,H/M,Left,2321
86,,Frank Rijkaard Icons | ICO,95,ST CAM CF,161K,PAC 93,SHO 96,PAS 88,DRI 92,DEF 71,PHY 94,5,4,H/M,Right,2443
87,,Socrates Icons | ICO,95,CM CDM,433K,PAC 91,SHO 87,PAS 96,DRI 95,DEF 93,PHY 94,4,5,H/H,Right,2575
88,,Dayot Upamecano FC Bayern Munchen | GER 1,95,CAM CM CF,,PAC 95,SHO 92,PAS 94,DRI 93,DEF 75,PHY 96,5,4,H/M,Right,2507
89,,Jordi Alba FC Barcelona | ESP 1,95,LB LWB,,PAC 95,SHO 83,PAS 92,DRI 93,DEF 90,PHY 88,4,4,H/H,Left,2501
90,,Jota Celtic | SPFL,95,RW RM LM LW,188K,PAC 99,SHO 90,PAS 92,DRI 98,DEF 58,PHY 81,5,4,H/M,Right,2382
91,,Sergio Busquets FC Barcelona | ESP 1,95,CDM CM,,PAC 87,SHO 87,PAS 93,DRI 95,DEF 94,PHY 91,4,4,M/H,Right,2490
92,,Christopher Nkunku RB Leipzig | GER 1,95,CF CAM ST,2.8M,PAC 97,SHO 91,PAS 93,DRI 97,DEF  77,PHY 81,5,5,H/M,Right,2448
93,,Paulo Dybala Roma FC | ITA 1,95,CF CAM RW ST,320K,PAC 92,SHO 95,PAS 95,DRI 99,DEF 48,PHY 73,4,4,H/L,Left,2379
94,,Lautaro Martinez Inter | ITA 1,95,ST CF,175K,PAC 95,SHO 95,PAS 85,DRI 94,DEF 56,PHY  93,4,4,H/M,Right,2414
95,,Nicolo Barella Inter | ITA 1,95,CM,134K,PAC 90,SHO 88,PAS 95,DRI 93,DEF 92,PHY 92,4,4,H/H,Right,2571
96,,Alexandre Lacazette OL | FRA 1,95,ST CF,360K,PAC 96,SHO 92,PAS 92,DRI 95,DEF 56,PHY 92,5,4,H/H,Right,2422
97,,Marquinhos Paris SG | FRA 1,95,CB,225K,PAC 90,SHO 64,PAS 84,DRI 84,DEF 95,PHY 90,3,3,M/H,Right,2267
98,,Pedri FC Barcelona | ESP 1,95,CM CAM LW,310K,PAC 92,SHO 83,PAS 92,DRI 95,DEF 84,PHY 89,5,5,H/H,Right,2428
99,,Eder Militao Real Madrid | ESP 1,95,CB RB,910K,PAC 91,SHO 61,PAS 82,DRI 85,DEF 97,PHY 93,2,3,M/H,Right,2313
100,,Vinicius Junior Real Madrid | ESP 1,95,LW LM,2M,PAC 99,SHO 90,PAS 89,DRI 98,DEF 41,PHY 81,5,5,H/M,Right,2270
101,,Leon Goretzka FC Bayern Munchen | GER 1,95,CM CDM,95.5K,PAC 90,SHO 90,PAS 92,DRI 91,DEF 90,PHY 93,3,5,H/H,Right,2494
102,,Christopher Nkunku RB Leipzig | GER 1,95,CF CAM ST,1.4M,PAC 97,SHO 91,PAS 93,DRI 97,DEF 77,PHY 81,5,5,H/M,Right,2448
103,,Sadio Mane FC Bayern Munchen | GER 1,95,ST LM CF LW,190K,PAC 96,SHO 90,PAS 89,DRI 94,DEF 51,PHY 85,5,4,H/M,Right,2341
104,,Player,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
105,,Marcus Rashford Manchester Utd | ENG 1,95,LW LM ST,1.5M,PAC 99,SHO 95,PAS 92,DRI 95,DEF 56,PHY 89,5,4,H/M,Right,2437
106,,Harry Kane Spurs | ENG 1,95,ST CF,63K,PAC 90,SHO 98,PAS 92,DRI 90,DEF 53,PHY 92,3,5,H/H,Right,2384
107,,Alexis Sanchez OM | FRA 1,95,ST CF,295K,PAC 93,SHO 93,PAS 94,DRI 99,DEF 59,PHY 87,4,4,H/M,Right,2457
108,,Bernardo Silva  Manchester City | ENG 1,95,CM RM CAM,358K,PAC 89,SHO 86,PAS 93,DRI 99,DEF 72,PHY 81,4,4,H/H,Left,2382
109,,Franco Baresi Icons | ICO,95,CB,300K,PAC 84,SHO 51,PAS 80,DRI 74,DEF 97,PHY 86,2,3,M/H,Right,2145
110,,Xavi Icons | ICO,95,CM CDM CAM,290K,PAC 84,SHO 82,PAS 97,DRI 95,DEF 76,PHY 78,4,4,H/H,Right,2374
111,,Marco van Basten Icons | ICO,95,ST CF,78K,PAC 88,SHO 96,PAS 78,DRI 92,DEF 41,PHY 82,3,5,M/M,Right,2239
112,,Alessandro Del Piero Icons | ICO,95,CF CAM ST,325K,PAC 89,SHO 95,PAS 92,DRI 95,DEF 46,PHY 72,5,5,H/M,Right,2272
113,,Paolo Maldini Icons | ICO,95,CB LB,2.2M,PAC 87,SHO 57,PAS 77,DRI 72,DEF 97,PHY 87,5,4,M/H,Right,2097
114,,Ferenc Puskas Icons | ICO,95,CF ST,493K,PAC 89,SHO 97,PAS 93,DRI 93,DEF 48,PHY 78,4,5,H/M,Left,2337
115,,Ronaldinho Icons | ICO,95,LW LM CAM,12M,PAC 94,SHO 91,PAS 92,DRI 97,DEF 38,PHY 83,5,4,H/L,Right,2273
116,,Gerd Muller Icons | ICO,95,ST CF,360K,PAC 89,SHO 95,PAS 79,DRI 90,DEF 45,PHY 78,4,4,H/M,Right,2233
117,,Jude Bellingham Borussia Dortmund | GER 1,95,CM CDM LM,480K,PAC 88,SHO 88,PAS 92,DRI 96,DEF 90,PHY 92,4,4,H/H,Right,2497
118,,Ronaldo Nazario Icons | ICO,95,ST CF,3.3M,PAC  95,SHO 94,PAS 80,DRI 94,DEF 46,PHY 78,5,5,M/M,Right,2237
119,,Zinedine Zidane Icons | ICO,95,CAM CM,909K,PAC 84,SHO 91,PAS 94,DRI 94,DEF 73,PHY 85,5,5,M/M,Right,2420
120,,Pele Icons | ICO,95,CF CAM ST,1.2M,PAC 96,SHO 93,PAS 90,DRI 95,DEF 56,PHY 75,5,4,H/M,Right,2357
121,,Aurelien Tchouameni Real Madrid | ESP 1,94,CDM CM,1.4M,PAC 92,SHO 82,PAS 91,DRI 90,DEF 92,PHY 94,3,4,M/H,Right,2433
122,,Ferran Torres FC Barcelona | ESP 1,94,ST LM CF LW,,PAC 95,SHO 92,PAS  93,DRI 98,DEF 47,PHY 83,5,4,H/M,Right,2351
123,,Raul Jimenez Wolves | ENG 1,94,ST CF,,PAC 94,SHO 94,PAS 90,DRI 93,DEF 62,PHY 96,4,5,H/H,Right,2429
124,,Caio Henrique AS Monaco | FRA 1,94,LB LWB LM,,PAC 95,SHO 75,PAS 92,DRI 93,DEF 90,PHY 83,5,4,H/H,Left,2432
125,,Raul Jimenez Wolves | ENG 1,94,ST CF,,PAC 94,SHO 94,PAS 90,DRI 93,DEF 62,PHY 96,4,5,H/H,Right,2429
126,,Raul Jimenez Wolves | ENG 1,94,ST CF,,PAC 94,SHO 94,PAS 90,DRI 93,DEF 62,PHY 96,4,5,H/H,Right,2429
127,,Domenico Berardi Sassuolo | ITA 1,94,RM LM RW LW,,PAC 93,SHO 93,PAS 90,DRI 94,DEF 70,PHY 85,5,5,H/M,Left,2430
128,,Gabriel Martinelli Arsenal | ENG 1,94,LM LW,2.1M,PAC 98,SHO 89,PAS 89,DRI 97,DEF 69,PHY 88,4,4,H/H,Right,2415
129,,Alexis Mac Allister Liverpool | ENG 1,94,CAM CM,,PAC 90,SHO 92,PAS 95,DRI 93,DEF 86,PHY 88,5,4,H/M,Right,2526
130,,Player,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
131,,Pierre-Emerick Aubameyang Chelsea | ENG 1,94,ST CF,,PAC 97,SHO 94,PAS 88,DRI 93,DEF 45,PHY 87,5,4,H/L,Right,2357
132,,Teji Savanier Montpellier | FRA 1,94,CAM CM,,PAC 91,SHO 91,PAS 95,DRI 94,DEF 84,PHY 87,5,5,H/M,Right,2493
133,,Jesus Corona Sevilla FC | ESP 1,94,RW RM LW,,PAC 93,SHO 87,PAS 90,DRI 95,DEF 82,PHY 75,5,5,H/M,Right,2456
134,,Edinson Cavani  Valencia CF | ESP 1,94,ST CF,46K,PAC 91,SHO 95,PAS 84,DRI 93,DEF 63,PHY 88,4,4,H/H,Right,2409
135,,Hakan Calhanoglu Inter | ITA 1,94,CM CDM CAM,,PAC 92,SHO 89,PAS 96,DRI 93,DEF 88,PHY 87,4,4,H/H,Right,2510
136,,Renato Sanches Paris SG | FRA 1,94,CM RM,,PAC 95,SHO 92,PAS 92,DRI 97,DEF 88,PHY 97,5,4,H/H,Right,2577
137,,Marcos Acuna Sevilla FC | ESP 1,94,CM CDM,,PAC 92,SHO 88,PAS 93,DRI 95,DEF 91,PHY 92,4,5,H/H,Left,2533
138,,Lisandro Martinez Manchester Utd | ENG 1,94,RW RM,,PAC 95,SHO 91,PAS 92,DRI 94,DEF 78,PHY 86,5,4,H/H,Left,2468
139,,Kyle Walker Manchester City | ENG 1,94,GK,117K,DIV 92,HAN 92,KIC 90,REF 96,SPD 94,POS 92,5,4,H/H,Right,2211
140,,Mario Gotze Frankfurt | GER 1,94,RW RWB RM LW,61K,PAC 94,SHO 88,PAS 93,DRI 97,DEF 75,PHY 83,5,4,H/M,Right,2448
141,,Trent Alexander-Arnold Liverpool | ENG 1,94,ST CAM CF,,PAC 95,SHO 94,PAS 93,DRI 94,DEF 70,PHY 89,5,4,H/M,Right,2456
142,,Jerome Roussillon Union Berlin | GER 1,94,RB RWB RM,93K,PAC 98,SHO 82,PAS 88,DRI 93,DEF 89,PHY 89,5,4,H/H,Left,2449
143,,Levi Lumeka ESTAC Troyes | FRA 1,94,CAM CF ST,,PAC 94,SHO 94,PAS 90,DRI 93,DEF 61,PHY 89,4,4,H/M,Right,2394
144,,Petr Cech Icons | ICO,94,ST CF,,PAC 92,SHO 95,PAS 90,DRI 94,DEF 70,PHY 94,5,4,H/M,Left,2492
145,,Richarlison Spurs | ENG 1,94,RW RM,202K,PAC 94,SHO 90,PAS 92,DRI 95,DEF 66,PHY 91,5,5,H/M,Right,2446
146,,Manuel Neuer FC Bayern Munchen | GER 1,94,ST LM CF LW,286K,PAC 94,SHO 96,PAS 87,DRI 94,DEF 60,PHY 96,5,4,H/M,Right,2427
147,,Samuel Umtiti Lecce | ITA 1,94,LW LM,,PAC 97,SHO 92,PAS 88,DRI 93,DEF 64,PHY 92,5,4,H/M,Left,2422
148,,Gift Links AGF | DEN 1,94,LW LM,,PAC 95,SHO 90,PAS 99,DRI 94,DEF 64,PHY 84,4,4,H/M,Left,2429
149,,Vitinha Paris SG | FRA 1,94,ST CF LW,,PAC 95,SHO 93,PAS 90,DRI 92,DEF 68,PHY 85,5,4,H/M,Right,2396
150,,Gianluca Zambrotta Icons | ICO,94,CM CDM,,PAC 90,SHO 89,PAS 94,DRI 94,DEF 92,PHY 91,4,5,H/H,Right,2562
151,,Eric Bailly OM | FRA 1,94,CDM CM,45.5K,PAC 88,SHO 70,PAS 90,DRI 88,DEF 95,PHY 94,3,5,M/H,Right,2436
152,,Sheraldo Becker Union Berlin | GER 1,94,CB CDM,110K,PAC 91,SHO 70,PAS 77,DRI 80,DEF 94,PHY 93,4,4,M/H,Right,2279
153,,Przemyslaw Frankowski RC Lens | FRA 1,94,RM LM RW LW,99.5K,PAC 98,SHO 93,PAS 90,DRI  96,DEF 70,PHY 86,5,3,H/M,Right,2414
154,,Kaka Icons | ICO,94,CAM CF,,PAC 94,SHO 89,PAS 92,DRI 96,DEF 47,PHY 76,5,4,H/M,Right,2263
155,,Davidson Wuhan 3 Towns | CHN 1,94,LW LM ST,51K,PAC 96,SHO 91,PAS 87,DRI 95,DEF 56,PHY 90,4,5,H/M,Right,2384
156,,Player,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
157,,Marc-Andre ter Stegen FC Barcelona | ESP 1,94,GK,60K,DIV 92,HAN 91,KIC 94,REF 96,SPD 53,POS 91,1,4,M/M,Right,1022
158,,Pedro Goncalves  Sporting CP | POR 1,94,LW LM CF RW,66.5K,PAC 93,SHO 94,PAS 94,DRI 97,DEF 71,PHY 78,5,4,H/M,Right,2421
159,,Phil Foden Manchester City | ENG 1,94,LW LM CAM CF,,PAC 93,SHO 90,PAS 92,DRI 97,DEF 66,PHY 74,4,4,H/H,Left,2339
160,,Chris Smalling Roma FC | ITA 1,94,CB,45K,PAC 90,SHO 60,PAS 72,DRI 75,DEF 93,PHY 95,2,3,M/H,Right,2140
161,,Adrien Rabiot Juventus | ITA 1,94,CM LM,220K,PAC 90,SHO 90,PAS 92,DRI 95,DEF 91,PHY 93,4,5,M/M,Left,2508
162,,Theo Hernandez Milan | ITA 1,94,LB LWB,329K,PAC 99,SHO 80,PAS 90,DRI 90,DEF 90,PHY 91,3,3,H/M,Left,2441
163,,Wissam Ben Yedder AS Monaco | FRA 1,94,ST CF,116K,PAC 92,SHO 94,PAS 90,DRI 98,DEF 50,PHY 80,4,5,H/L,Right,2370
164,,Marco Verratti Paris SG | FRA 1,94,CM CDM CAM,85.5K,PAC 90,SHO 78,PAS 96,DRI 99,DEF 88,PHY 85,4,5,M/H,Right,2504
165,,Facundo Medina RC Lens | FRA 1,94,CB,44.5K,PAC 88,SHO 55,PAS 80,DRI 90,DEF 92,PHY 93,3,3,M/H,Left,2234
166,,Jonathan David LOSC Lille | FRA 1,94,ST CF RW LW,120K,PAC 95,SHO 95,PAS 88,DRI 93,DEF 50,PHY 88,4,5,H/H,Right,2313
